nom,categorie,marques_specialite,types_pieces,telephone,whatsapp,localisation,ad_library_id,ad_library_url,page_facebook,notes
3H Autoparts,Vendeur pièces (revendeur agréé),BOSCH (distributeur agréé) + multimarques,"Pièces authentiques/originales BOSCH, pièces auto générales",+225 07 67 89 34 59,+225 07 67 89 34 59,"Angré 8e Tranche (près immeuble NSIA) ; Marcory Zone 4 (près CIE)",1128626452725294,https://www.facebook.com/ads/library/?id=1128626452725294,,Déjà concurrent scrappé (site 3hautoparts.com)
Global Auto,Vendeur pièces,Mitsubishi (origine),"Amortisseurs, plaquettes frein, feux, évaporateurs, boîtiers papillon (avec réf. constructeur)",,0150500011,Abidjan (site web),1643039233267845,https://www.facebook.com/ads/library/?id=1643039233267845,,Déjà concurrent scrappé (global-auto.online)
Esm pièces auto,Vendeur pièces,"Mercedes-Benz, BMW, Suzuki, Hyundai, Kia, Mitsubishi, Range Rover","Plaquettes frein, amortisseurs, filtres huile/air, bougies, pare-chocs, feux av/ar, courroies (occasion & neuf, origine)",,+225 07 17 15 77 02,Côte d'Ivoire (livraison),1745794686399721,https://www.facebook.com/ads/library/?id=1745794686399721,,Bon volume / gros annonceur
JAPKO pieces auto,Vendeur pièces,Japonais & Coréen,Pièces auto (japonaises & coréennes),+225 0718444448,+225 0718444448,"Treichville Avenue 8 rue 25 (Chez Ali Abdallah)",644309498754551,https://www.facebook.com/ads/library/?id=644309498754551,https://www.facebook.com/100063807512913/,Numéro récupéré via page FB (1,2K abonnés)
Ade Pieces Auto,Vendeur pièces,Honda,"Pièces Honda neuves ou certifiées",0707828927,0707828927,"Koumassi Remblais (près Pharmacie du Canal) ; Abatta (route Abatta Village, carrefour Drogba)",25492564870347379,https://www.facebook.com/ads/library/?id=25492564870347379,https://www.facebook.com/adepiecesauto,Numéro récupéré via page FB
TSF SARL,Vendeur pièces (carrosserie),KIA & Hyundai,"Pare-chocs av/ar, phares, feux ar, calandres, rétroviseurs, antibrouillards, clignotants, ailes, capots + lavage/polissage phares",07 09 74 44 37 / 01 01 68 90 40,07 09 74 44 37,"Yopougon Sablé (près pharmacie les Oliviers)",2083792775893644,https://www.facebook.com/ads/library/?id=2083792775893644,,Spécialiste carrosserie ; livraison CI
kalouba pièce (Kalou Pièces Auto),Vendeur pièces,"Toutes marques (Mazda, Toyota, RAV4, Hyundai, Honda, Golf, Peugeot, Suzuki, Renault, Nissan, Isuzu, Mitsubishi, Kia, GMC, Mercedes)",Pièces détachées toutes marques,+225 07 01 75 62 76 / +225 05 56 87 20 10,+225 07 01 75 62 76,Abidjan,1327167269119540,https://www.facebook.com/ads/library/?id=1327167269119540,,Très gros annonceur (annonces multiples)
SMS Pièces Auto Bmw-mercedes,Vendeur pièces,"BMW, Mercedes-Benz, Mini Cooper (allemandes premium)","Pièces d'origine + entretien/réparation/diagnostic",07 78 57 56 35 / 07 07 57 70 57,,"Yopougon (près Carrefour Sipim)",1286741479765546,https://www.facebook.com/ads/library/?id=1286741479765546,,
IKGOD Global Pièces Auto,Vendeur pièces,"Land Rover, Range Rover, Jaguar, Chevrolet, Kia, Hyundai, Suzuki",Large gamme pièces (gros & détail),05 54 45 33 33,05 54 45 33 33,Côte d'Ivoire (livraison),1950934745553407,https://www.facebook.com/ads/library/?id=1950934745553407,https://www.facebook.com/61561546539599,Pas de n° sur la page — n° du texte de l'annonce
Profleet Ci,Vendeur pièces (batteries + moteurs),BOSCH (batteries) toutes marques,"Batteries 45AH→225AH (AGM & SLI), VL & PL ; moteurs & boîtes (neuf/occasion)",07 99 55 55 75,07 99 55 55 75,Abidjan – Zone 4,2036728650596790,https://www.facebook.com/ads/library/?id=2036728650596790,,Batteries + moteurs/boîtes
