id,priorite,score,enseigne,type,segment,marques,commune,zone,adresse,lat,lng,tel,tel2,whatsapp,email,web,taille,formalise,anciennete,fiabilite,sources,motifHorsCible
P125,A,85,CFAO MOTORS COTE DIVOIRE,Entreprise enregistrée (annuaire),,,Treichville,,129 Bd de Marseille,,,+2252721751500,,,,,Grand,Oui (immatriculée),1973,Moyenne,Annuaire Yelloci (2026-08-25),Concession / distributeur de marque
P154,A,85,COMPTOIR DE L'AUTO DU CYCLE OUTILLAGE MATERIEL INDUST. AGRI,Entreprise enregistrée (annuaire),,,Treichville,,"Bd Giscard Destaing rue 12, Treichville",,,+2252721242168,,,,,Grand,Oui (immatriculée),1932,Moyenne,Annuaire Yelloci (2026-08-25),Outillage atelier
P130,A,85,EXPLOITATION MATERIEL AUTO COTE DIVOIRE,Entreprise enregistrée (annuaire),,,Treichville,,"17 rue des Brasseurs, Zone 3 Treichville",,,+2252721254482,,,,,Grand,Oui (immatriculée),1984,Moyenne,Annuaire Yelloci (2026-08-25),
P131,A,85,KABALANE ET CIE,Entreprise enregistrée (annuaire),,,Treichville,,"Bd Giscard Destaing, Treichville",,,+2252721759350,,,,,Grand,Oui (immatriculée),1968,Moyenne,Annuaire Yelloci (2026-08-25),
P132,A,85,PIECES IMPORT EXPRESS,Entreprise enregistrée (annuaire),,,Marcory,,"Rue de la Paix, Marcory",,,+2252721755925,,,,,Grand,Oui (immatriculée),1974,Moyenne,Annuaire Yelloci (2026-08-25),
P119,A,85,Premoto Toyota SA,Entreprise enregistrée (annuaire),,,Marcory,,"Bd Giscard Destaing, Marcory, 15 BP 630",,,+2252721251515,,,,,Grand,Oui (immatriculée),1969,Moyenne,Annuaire Yelloci (2026-08-25),Concession / distributeur de marque
P135,A,85,SANS PAREIL,Entreprise enregistrée (annuaire),,,Treichville,,"Bd de Marseille (Notre Dame d'Afrique), Biétry Marcory",,,+2252721247778,,,,,Grand,Oui (immatriculée),1962,Moyenne,Annuaire Yelloci (2026-08-25),
P121,A,85,SETACI,Entreprise enregistrée (annuaire),,,Marcory,,"Rue Chevalier de Clieu, Zone 4C Marcory",,,+2252721759090,,,,,Grand,Oui (immatriculée),1974,Moyenne,Annuaire Yelloci (2026-08-25),Concession / distributeur de marque
P143,A,85,STE AFRICAINE REPRESENTATION INDUSTRIELLE,Entreprise enregistrée (annuaire),,,Treichville,,"117 Bd de Marseille Zone 3, Treichville",,,+2252721751800,,,,,Grand,Oui (immatriculée),1949,Moyenne,Annuaire Yelloci (2026-08-25),
P137,A,85,STE D'ELECTRICITE-INJECTION-FILTRATION AUTOMOBILE,Entreprise enregistrée (annuaire),,,Treichville,,"Bd des Armées Km3, Treichville",,,+2252721249779,,,,,Grand,Oui (immatriculée),1987,Moyenne,Annuaire Yelloci (2026-08-25),
P144,A,85,STE D'IMPORTATION DE PIECES AUTOMOBILES,Entreprise enregistrée (annuaire),,,Treichville,,"Bd Giscard Destaing (Cacomiaf), Treichville",,,+2252721241052,,,,,Grand,Oui (immatriculée),1962,Moyenne,Annuaire Yelloci (2026-08-25),
P142,A,85,Ste IV. Farhat Frères,Entreprise enregistrée (annuaire),,,Marcory,,Rue Thomas Edison Zone 4C Marcory,,,+2252721249555,,,,,Grand,Oui (immatriculée),1964,Moyenne,Annuaire Yelloci (2026-08-25),
P164,A,83,ETS GEORGES WAKIM,Entreprise enregistrée (annuaire),,,Adjamé,,Adjamé (imm. Mirador),,,+2252720372194,,,,,Grand,Oui (immatriculée),1987,Moyenne,Annuaire Yelloci (2026-08-25),
P165,A,83,ETS SAAD WAFIC,Entreprise enregistrée (annuaire),,,Adjamé,,Adjamé (imm. Mirador),,,+2252720370372,,,,,Grand,Oui (immatriculée),1987,Moyenne,Annuaire Yelloci (2026-08-25),
P140,A,78,STE IV. DE MATERIEL & PIECES OCCASION,Entreprise enregistrée (annuaire),,,Yopougon,,ZI Yopougon,,,+2252723467331,,,,,Grand,Oui (immatriculée),1984,Moyenne,Annuaire Yelloci (2026-08-25),
P027,A,75,Unipièces,Vendeur pièces (premium),"Pièces certifiées, moteur, entretien","Multimarques + chinoises (Changan, Jetour, MG)",Marcory,,"Zone 4 / Marcory (Imm. H&A, Av. Vanie Bi Tra)",,,+2250503775040,,,,https://www.facebook.com/ads/library/?id=1304412025232196,Moyen,,,Haute,Facebook Ad Library (2026-05-29),
P026,A,75,WEHBE AZ AUTO PARTS,Vendeur pièces (spécialiste),Pièces neuves & importées,Kia & Hyundai,Marcory,,Abidjan – Zone 4,,,+2250769212021,,,,https://www.facebook.com/ads/library/?id=2295449964321083,Moyen,,,Haute,Facebook Ad Library (2026-05-29),
P003,B,69,Esm pièces auto,Vendeur pièces,"Plaquettes frein, amortisseurs, filtres huile/air, bougies, pare-chocs, feux av/ar, courroies (occasion & neuf, origine)","Mercedes-Benz, BMW, Suzuki, Hyundai, Kia, Mitsubishi, Range Rover",,,Côte d'Ivoire (livraison),,,+2250717157702,,+2250717157702,,https://www.facebook.com/ads/library/?id=1745794686399721,Moyen,,,Haute,Facebook Ad Library (2026-05-29),
P007,B,69,kalouba pièce (Kalou Pièces Auto),Vendeur pièces,Pièces détachées toutes marques,"Toutes marques (Mazda, Toyota, RAV4, Hyundai, Honda, Golf, Peugeot, Suzuki, Renault, Nissan, Isuzu, Mitsubishi, Kia, GMC, Mercedes)",,,Abidjan,,,+2250701756276,+2250556872010,+2250701756276,,https://www.facebook.com/ads/library/?id=1327167269119540,Moyen,,,Haute,Facebook Ad Library (2026-05-29),
P001,B,67,3H Autoparts,Vendeur pièces (revendeur agréé),"Pièces authentiques/originales BOSCH, pièces auto générales",BOSCH (distributeur agréé) + multimarques,Marcory,,Angré 8e Tranche (près immeuble NSIA) ; Marcory Zone 4 (près CIE),,,+2250767893459,,+2250767893459,,https://www.facebook.com/ads/library/?id=1128626452725294,,,,Haute,Facebook Ad Library (2026-05-29),
P148,B,67,AGRIMAT,Entreprise enregistrée (annuaire),,,Treichville,,"Treichville/Marcory, Bd du Gabon face station Shell",,,+2252721244532,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P150,B,67,Apaci,Entreprise enregistrée (annuaire),,,Treichville,,Treichville av. 8 rue 22 barrée,,,+2252721241527,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P151,B,67,Auto Clima,Entreprise enregistrée (annuaire),,,Treichville,,"Biétry, Bd de Marseille vers Wafou",,,+2252721248175,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),"Garage / service, pas grossiste"
P126,B,67,CICOMAG SA,Entreprise enregistrée (annuaire),,,Treichville,,"215 Bd de Marseille, Zone 2 Treichville",,,+2252721213600,,,,,,Oui (immatriculée),2005,Moyenne,Annuaire Yelloci (2026-08-25),
P152,B,67,CIE d'Importation Distribution Pneumatiques,Entreprise enregistrée (annuaire),,,Treichville,,"129 Bd de Marseille, Treichville",,,+2252721751900,,,,,,Oui (immatriculée),1996,Moyenne,Annuaire Yelloci (2026-08-25),Pneumatiques uniquement
P153,B,67,Clim Auto Service,Entreprise enregistrée (annuaire),,,Treichville,,Bd de Marseille face CI-Telecom,,,+2252721242222,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),"Garage / service, pas grossiste"
P156,B,67,Distribution Services CI,Entreprise enregistrée (annuaire),,,Marcory,,Bd VGE après Ibis Marcory,,,+2252721243135,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P157,B,67,EAF Ets Amou & Fils,Entreprise enregistrée (annuaire),,,Treichville,,Treichville av. 8 rue 24,,,+2252721243089,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P158,B,67,Edex,Entreprise enregistrée (annuaire),,,Marcory,,Zone 4 près Inprobois,,,+2252721352764,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P160,B,67,ETABLISSEMENT SAAD RAED,Entreprise enregistrée (annuaire),,,Treichville,,Rue 22 barrée av. 8 Treichville,,,+2252721251212,,,,,,Oui (immatriculée),2001,Moyenne,Annuaire Yelloci (2026-08-25),
P161,B,67,ETABLISSEMENT WANSA,Entreprise enregistrée (annuaire),,,Treichville,,"Av. 8 rue barrée, Treichville",,,+2252721341867,,,,,,Oui (immatriculée),1998,Moyenne,Annuaire Yelloci (2026-08-25),
P167,B,67,Ets Bassam,Entreprise enregistrée (annuaire),,,Treichville,,Treichville,,,+2252721248548,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P166,B,67,ETS WAKIM PIERRE,Entreprise enregistrée (annuaire),,,Treichville,,Av. 8 Treichville,,,+2252721251675,,,,,,Oui (immatriculée),1997,Moyenne,Annuaire Yelloci (2026-08-25),
P171,B,67,GPA,Entreprise enregistrée (annuaire),,,Treichville,,Zone 3 rue des Carrossiers,,,+2252721355502,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
P172,B,67,Intratec,Entreprise enregistrée (annuaire),,,Treichville,,14 Bd de Marseille,,,+2252721240406,,,,,,Oui (immatriculée),,Moyenne,Annuaire Yelloci (2026-08-25),
